"headphones_speakers","headphones_speakers_other","age","educ","race","race_other","sex","residence","residence_other","pol_ideology","pol_party","pol_party_other","suspicion","suspicion_other","mc_name","mc_name_do","mc_race_w","mc_race_b","b_race_name_1","b_race_name_2","b_race_name_3","b_race_name_4","b_race_name_5","b_race_name_6","b_race_name_7","b_race_name_8","b_race_name_do","w_race_name_1","w_race_name_2","w_race_name_3","w_race_name_4","w_race_name_5","w_race_name_6","w_race_name_7","w_race_name_8","w_race_name_do","feedback","mc_name_score","cond_do","mc_race_q_do","race_name_q_do","trait_do1","trait_do2","trait_do3","trait_do4","role_do1","role_do2","role_do3","role_do4","thoughts1","thoughts2","thoughts3","thoughts4","trust_rev1","trust_rev2","trust_rev3","trust_rev4","id","condition","boss","comm","conf","dom","employee","frnd","idvoice","intell","leadership","name","neighbr","prob","team","threat","threatpotential","trust","voice","cond_race","cond_pitch","cond_pitchC","cond_raceC"
"Speakers",NA,29,"Some college but no degree","White",NA,"Female","Urban",NA,0,"Democratic",NA,"The study is about predicting personality from voices",NA,"Deshawn,Keyshawn,Scott,William","William|Jackson|Logan|Lucas|Deshawn|Aiden|Scott|Keyshawn","4","0",20,20,20,20,100,100,100,100,"Tyrone|Brett|Terrell|Logan|Deshawn|Keyshawn|Brad|Scott",80,80,80,80,0,0,0,0,"Brad|Brett|Tyrone|Terrell|Keyshawn|Deshawn|Logan|Scott",NA,3,"FL_144|FL_147|FL_145|FL_146","Q82|Q84","Q54|Q55","Dominant|Intelligent|Like they are a problem-solver|Threatening|Trustworthy|Confident|Like they are an effective communicator","Like they are a problem-solver|Confident|Intelligent|Dominant|Trustworthy|Threatening|Like they are an effective communicator","Like they are an effective communicator|Dominant|Like they are a problem-solver|Confident|Threatening|Intelligent|Trustworthy","Trustworthy|Intelligent|Dominant|Threatening|Like they are a problem-solver|Like they are an effective communicator|Confident","your close friend?|your boss?|your neighbor?|your work project team member?|your employee?","your work project team member?|your employee?|your close friend?|your boss?|your neighbor?","your close friend?|your neighbor?|your employee?|your work project team member?|your boss?","your close friend?|your boss?|your employee?|your work project team member?|your neighbor?","He sounds fairly robotic.","They sound very relaxed and at ease.","They sound very bored.","He sounds very creepy.",50,50,50,80,1,"BH",0,60,60,50,0,0,7187,80,67.5,"Deshawn",50,70,0,0,50,50,"c","Black","High",0.5,-0.5
"Speakers",NA,56,"Bachelor's degree in college (4-year)","White",NA,"Female","Rural",NA,6,"Republican",NA,"The study is about predicting personality from voices",NA,"Deshawn","Aiden|Noah|Logan|Lucas|Deshawn|Grayson|Tyrone|Scott","4","0",1,1,1,1,97,97,97,96,"Keyshawn|Terrell|Logan|Scott|Brett|Brad|Tyrone|Deshawn",97,97,97,97,2,2,2,4,"Tyrone|Brad|Keyshawn|Deshawn|Terrell|Logan|Brett|Scott","Very interesting!!! Thanks~+~for asking!",1,"FL_145|FL_147|FL_146|FL_144","Q82|Q84","Q55|Q54","Confident|Threatening|Dominant|Like they are a problem-solver|Trustworthy|Intelligent|Like they are an effective communicator","Confident|Like they are an effective communicator|Trustworthy|Threatening|Intelligent|Like they are a problem-solver|Dominant","Trustworthy|Threatening|Like they are an effective communicator|Dominant|Like they are a problem-solver|Confident|Intelligent","Confident|Like they are a problem-solver|Dominant|Like they are an effective communicator|Intelligent|Trustworthy|Threatening","your employee?|your boss?|your neighbor?|your work project team member?|your close friend?","your employee?|your neighbor?|your work project team member?|your boss?|your close friend?","your close friend?|your employee?|your work project team member?|your neighbor?|your boss?","your close friend?|your work project team member?|your employee?|your boss?|your neighbor?","Sounded intelligent","Sounds depressed","sounded a bit angry towards the end","No",19,49,30,15,2,"BH",97,100,82,4,97,97,6754,100,95.5,"Tyrone",97,100,97,0,11.5,81,"g","Black","High",0.5,-0.5
"Speakers",NA,49,"Master's degree","White",NA,"Female","Suburban",NA,6,"Republican",NA,"The study is about predicting personality from voices",NA,"Deshawn,Terrell,Scott,Brad","Jackson|Elijah|Terrell|William|Deshawn|Liam|Brad|Scott","Unsure","Unsure",32,20,18,15,90,78,91,65,"Brett|Scott|Brad|Terrell|Keyshawn|Logan|Tyrone|Deshawn",72,82,83,82,12,22,11,41,"Keyshawn|Logan|Scott|Tyrone|Terrell|Deshawn|Brett|Brad",NA,4,"FL_146|FL_145|FL_147|FL_144","Q84|Q82","Q55|Q54","Trustworthy|Confident|Like they are a problem-solver|Like they are an effective communicator|Threatening|Dominant|Intelligent","Like they are an effective communicator|Trustworthy|Like they are a problem-solver|Threatening|Intelligent|Confident|Dominant","Like they are an effective communicator|Intelligent|Threatening|Like they are a problem-solver|Confident|Trustworthy|Dominant","Intelligent|Confident|Like they are an effective communicator|Like they are a problem-solver|Threatening|Dominant|Trustworthy","your employee?|your boss?|your close friend?|your work project team member?|your neighbor?","your neighbor?|your employee?|your boss?|your work project team member?|your close friend?","your employee?|your work project team member?|your neighbor?|your boss?|your close friend?","your close friend?|your work project team member?|your neighbor?|your boss?|your employee?","",NA,NA,NA,15,63,25,46,3,"BH",82,82,67,56,89,83,3553,88,79.5,"Deshawn",82,81,89,22,35.5,85,"f","Black","High",0.5,-0.5
"Speakers",NA,30,"Some college but no degree","White",NA,"Female","Urban",NA,3,"Democratic",NA,"The study is about predicting personality from voices",NA,"Tyrone,Scott,Brad","Elijah|Lucas|Scott|Liam|Tyrone|Grayson|Brad|Terrell","1","2",4,5,5,3,97,96,99,96,"Terrell|Brad|Logan|Tyrone|Scott|Brett|Keyshawn|Deshawn",98,75,100,94,6,10,4,8,"Brett|Tyrone|Logan|Deshawn|Brad|Terrell|Keyshawn|Scott","Nothing to add.",3,"FL_144|FL_145|FL_147|FL_146","Q82|Q84","Q55|Q54","Intelligent|Trustworthy|Like they are an effective communicator|Dominant|Confident|Threatening|Like they are a problem-solver","Dominant|Trustworthy|Threatening|Confident|Like they are an effective communicator|Intelligent|Like they are a problem-solver","Like they are an effective communicator|Trustworthy|Dominant|Intelligent|Like they are a problem-solver|Threatening|Confident","Dominant|Intelligent|Like they are an effective communicator|Trustworthy|Threatening|Confident|Like they are a problem-solver","your work project team member?|your neighbor?|your close friend?|your boss?|your employee?","your work project team member?|your boss?|your employee?|your close friend?|your neighbor?","your work project team member?|your employee?|your neighbor?|your close friend?|your boss?","your neighbor?|your close friend?|your employee?|your boss?|your work project team member?","He seems calm and collected in the way he speaks. But he also seems either sleepy or a bit bored.","Seems very unfaized but what he is doing.","Just seems like hes barely there...like this is the last thing he wants to do at all.","He seems both interested in the tast at hand and very smart. Like this isn't just a simple task hes pursuing.",0,64,59,13,4,"BH",96,94,86,81,16,26,3890,76,89,"Terrell",60,100,37,3,40.5,100,"b","Black","High",0.5,-0.5
"Headphones",NA,23,"Some college but no degree","White",NA,"Female","Rural",NA,1,"Democratic",NA,"The study is about predicting personality from voices",NA,"Tyrone,William","Aiden|Noah|Tyrone|William|Brett|Jackson|Keyshawn|Logan","Unsure","2",52,54,51,51,64,68,64,67,"Keyshawn|Scott|Logan|Brett|Brad|Deshawn|Terrell|Tyrone",55,57,66,53,41,44,39,44,"Terrell|Brett|Logan|Tyrone|Scott|Brad|Keyshawn|Deshawn",NA,1,"FL_147|FL_144|FL_146|FL_145","Q84|Q82","Q54|Q55","Like they are a problem-solver|Threatening|Confident|Intelligent|Trustworthy|Like they are an effective communicator|Dominant","Dominant|Trustworthy|Like they are a problem-solver|Intelligent|Threatening|Confident|Like they are an effective communicator","Trustworthy|Intelligent|Like they are a problem-solver|Threatening|Like they are an effective communicator|Dominant|Confident","Like they are a problem-solver|Intelligent|Like they are an effective communicator|Threatening|Confident|Dominant|Trustworthy","your boss?|your neighbor?|your work project team member?|your close friend?|your employee?","your boss?|your neighbor?|your work project team member?|your employee?|your close friend?","your employee?|your close friend?|your boss?|your work project team member?|your neighbor?","your neighbor?|your close friend?|your employee?|your boss?|your work project team member?","Sounded relaxed and friendly","It sounded like a robotic filter was added",NA,NA,0,15,22,39,5,"BH",69,79,87,69,83,92,2593,87,85.5,"Keyshawn",85,89,87,6,34.5,100,"d","Black","High",0.5,-0.5
"Speakers",NA,33,"Bachelor's degree in college (4-year)","White",NA,"Female","Suburban",NA,2,"Democratic",NA,"The study is about predicting personality from voices",NA,"Keyshawn,Brad,Brett,Lucas","William|Elijah|Brett|Lucas|Keyshawn|Noah|Terrell|Brad","2","2",50,20,53,50,79,78,78,81,"Keyshawn|Tyrone|Deshawn|Brett|Terrell|Scott|Logan|Brad",79,78,54,54,27,25,30,27,"Keyshawn|Terrell|Tyrone|Brett|Deshawn|Brad|Logan|Scott","I found this study to be both interesting and intriguing.",3,"FL_144|FL_146|FL_147|FL_145","Q82|Q84","Q55|Q54","Confident|Threatening|Trustworthy|Like they are a problem-solver|Like they are an effective communicator|Intelligent|Dominant","Threatening|Intelligent|Trustworthy|Like they are an effective communicator|Confident|Dominant|Like they are a problem-solver","Trustworthy|Like they are an effective communicator|Intelligent|Dominant|Threatening|Confident|Like they are a problem-solver","Confident|Like they are an effective communicator|Like they are a problem-solver|Intelligent|Trustworthy|Dominant|Threatening","your close friend?|your employee?|your work project team member?|your boss?|your neighbor?","your close friend?|your employee?|your boss?|your neighbor?|your work project team member?","your neighbor?|your boss?|your work project team member?|your employee?|your close friend?","your boss?|your employee?|your neighbor?|your close friend?|your work project team member?","He has a clear and crisp speaking voice which is very effective in communication.","This speaker lacks emphasis on his words and therefore comes across as not as intelligent, confident, or serious.","He sounds almost identical to the first speaker. He varied his enunciation slightly from the first speaker.","This speaker's voice is definitely different from the first two speakers. He sounds more monotone and disinterested.",63,66,49,48,6,"BH",80,83,82,91,75,75,2593,83,74.5,"Terrell",67,50,83,10,77,37,"d","Black","High",0.5,-0.5
"Headphones",NA,30,"Bachelor's degree in college (4-year)","White",NA,"Male","Suburban",NA,2,"Democratic",NA,"The study is about predicting personality from voices",NA,"Deshawn,Keyshawn,Logan,Brett","Lucas|Liam|Keyshawn|Elijah|Brett|William|Deshawn|Logan","2","2",27,13,24,16,97,96,94,86,"Terrell|Logan|Brett|Brad|Tyrone|Deshawn|Scott|Keyshawn",85,80,72,79,10,4,4,15,"Brad|Terrell|Tyrone|Keyshawn|Logan|Brett|Scott|Deshawn",NA,4,"FL_145|FL_144|FL_147|FL_146","Q82|Q84","Q55|Q54","Like they are an effective communicator|Like they are a problem-solver|Intelligent|Confident|Threatening|Trustworthy|Dominant","Like they are an effective communicator|Like they are a problem-solver|Intelligent|Dominant|Threatening|Trustworthy|Confident","Trustworthy|Threatening|Confident|Like they are an effective communicator|Intelligent|Dominant|Like they are a problem-solver","Threatening|Dominant|Intelligent|Like they are a problem-solver|Confident|Like they are an effective communicator|Trustworthy","your neighbor?|your employee?|your work project team member?|your close friend?|your boss?","your neighbor?|your employee?|your work project team member?|your boss?|your close friend?","your boss?|your neighbor?|your work project team member?|your close friend?|your employee?","your close friend?|your employee?|your boss?|your neighbor?|your work project team member?","Sounds masculinely timid","Sounds like he could be an actor","Sounds very unsure","Sounds unsure",35,16,47,26,7,"BH",73,59,46,13,85,79,6754,63,58.25,"Deshawn",77,65,83,13,24,65,"g","Black","High",0.5,-0.5
"Headphones",NA,56,"Bachelor's degree in college (4-year)","White",NA,"Female","Rural",NA,2,"Democratic",NA,"The study is about predicting personality from voices",NA,"Terrell,Keyshawn,Scott,Brad","Grayson|Jackson|Scott|Aiden|Brad|Liam|Terrell|Keyshawn","2","2",40,10,50,10,90,95,98,60,"Brad|Deshawn|Terrell|Tyrone|Logan|Scott|Brett|Keyshawn",60,90,50,90,10,5,2,40,"Deshawn|Brett|Terrell|Keyshawn|Brad|Tyrone|Scott|Logan",NA,4,"FL_147|FL_145|FL_144|FL_146","Q82|Q84","Q54|Q55","Threatening|Like they are an effective communicator|Like they are a problem-solver|Confident|Dominant|Trustworthy|Intelligent","Intelligent|Confident|Dominant|Like they are an effective communicator|Like they are a problem-solver|Trustworthy|Threatening","Confident|Threatening|Trustworthy|Like they are a problem-solver|Like they are an effective communicator|Intelligent|Dominant","Like they are an effective communicator|Confident|Intelligent|Trustworthy|Like they are a problem-solver|Dominant|Threatening","your employee?|your close friend?|your neighbor?|your work project team member?|your boss?","your neighbor?|your close friend?|your boss?|your employee?|your work project team member?","your work project team member?|your boss?|your close friend?|your employee?|your neighbor?","your work project team member?|your neighbor?|your close friend?|your boss?|your employee?","very pleasant","sounded nervous","no","no",5,20,0,15,8,"BH",95,100,100,50,95,100,6861,100,100,"Keyshawn",100,100,95,0,27.5,95,"h","Black","High",0.5,-0.5
"Headphones",NA,54,"Bachelor's degree in college (4-year)","White",NA,"Male","Rural",NA,4,"Independent",NA,"The researcher isn't telling me what the study is about. My guess is that the study is about...","how voices influence perception of personality.","Deshawn,Tyrone,Brett","Aiden|Jackson|Deshawn|Grayson|Brett|Noah|Tyrone|Scott","4","0",21,13,21,24,77,78,89,84,"Logan|Deshawn|Tyrone|Scott|Brad|Keyshawn|Terrell|Brett",89,85,92,88,18,13,13,18,"Deshawn|Logan|Brad|Terrell|Brett|Scott|Tyrone|Keyshawn",NA,3,"FL_145|FL_144|FL_146|FL_147","Q84|Q82","Q54|Q55","Threatening|Like they are an effective communicator|Dominant|Confident|Trustworthy|Like they are a problem-solver|Intelligent","Dominant|Like they are a problem-solver|Confident|Like they are an effective communicator|Intelligent|Trustworthy|Threatening","Threatening|Like they are a problem-solver|Dominant|Trustworthy|Confident|Intelligent|Like they are an effective communicator","Confident|Intelligent|Like they are a problem-solver|Like they are an effective communicator|Threatening|Trustworthy|Dominant","your boss?|your employee?|your neighbor?|your work project team member?|your close friend?","your close friend?|your employee?|your boss?|your work project team member?|your neighbor?","your close friend?|your employee?|your work project team member?|your boss?|your neighbor?","your close friend?|your employee?|your neighbor?|your work project team member?|your boss?","No","Not really","No","no",44,43,43,47,9,"BH",51,62,61,51,65,49,7187,68,64.75,"Tyrone",89,68,56,10,47.5,56,"c","Black","High",0.5,-0.5
"Headphones",NA,27,"Some college but no degree","White",NA,"Male","Urban",NA,2,"Independent",NA,"The study is about predicting personality from voices",NA,"Keyshawn,Brad,Logan,Liam","Liam|Grayson|Keyshawn|Noah|Logan|Lucas|Tyrone|Brad","3","1",40,23,41,11,86,88,50,89,"Keyshawn|Tyrone|Scott|Terrell|Brett|Logan|Deshawn|Brad",90,89,89,90,5,3,7,3,"Terrell|Deshawn|Keyshawn|Brad|Tyrone|Scott|Logan|Brett",NA,3,"FL_147|FL_145|FL_146|FL_144","Q82|Q84","Q54|Q55","Dominant|Confident|Intelligent|Threatening|Like they are an effective communicator|Trustworthy|Like they are a problem-solver","Trustworthy|Dominant|Threatening|Confident|Like they are an effective communicator|Like they are a problem-solver|Intelligent","Trustworthy|Dominant|Threatening|Intelligent|Confident|Like they are a problem-solver|Like they are an effective communicator","Confident|Like they are a problem-solver|Trustworthy|Dominant|Threatening|Like they are an effective communicator|Intelligent","your boss?|your employee?|your work project team member?|your neighbor?|your close friend?","your neighbor?|your boss?|your employee?|your close friend?|your work project team member?","your employee?|your boss?|your close friend?|your work project team member?|your neighbor?","your neighbor?|your boss?|your employee?|your work project team member?|your close friend?","",NA,NA,NA,85,6,61,42,10,"BH",20,13,33,31,48,75,5999,73,45.25,"Keyshawn",70,62,48,27,58,15,"a","Black","High",0.5,-0.5
