"headphones_speakers","headphones_speakers_other","age","educ","race","race_other","sex","residence","residence_other","pol_ideology","pol_party","pol_party_other","suspicion","suspicion_other","mc_name","mc_name_do","mc_race_w","mc_race_b","b_race_name_1","b_race_name_2","b_race_name_3","b_race_name_4","b_race_name_5","b_race_name_6","b_race_name_7","b_race_name_8","b_race_name_do","w_race_name_1","w_race_name_2","w_race_name_3","w_race_name_4","w_race_name_5","w_race_name_6","w_race_name_7","w_race_name_8","w_race_name_do","feedback","mc_name_score","cond_do","name_1","voice_1","name_2","voice_2","name_3","voice_3","name_4","voice_4","mc_race_q_do","race_name_q_do","idvoice_1","idvoice_2","idvoice_3","idvoice_4","trust_1","trust_2","trust_3","trust_4","dom_1","dom_2","dom_3","dom_4","threat_1","threat_2","threat_3","threat_4","intell_1","intell_2","intell_3","intell_4","comm_1","comm_2","comm_3","comm_4","prob_1","prob_2","prob_3","prob_4","conf_1","conf_2","conf_3","conf_4","trait_do1","trait_do2","trait_do3","trait_do4","team_1","team_2","team_3","team_4","frnd_1","frnd_2","frnd_3","frnd_4","neighbr_1","neighbr_2","neighbr_3","neighbr_4","employee_1","employee_2","employee_3","employee_4","boss_1","boss_2","boss_3","boss_4","role_do1","role_do2","role_do3","role_do4","thoughts1","thoughts2","thoughts3","thoughts4","leadership_1","leadership_2","leadership_3","leadership_4","trust_rev1","trust_rev2","trust_rev3","trust_rev4","threatpotential_1","threatpotential_2","threatpotential_3","threatpotential_4","id"
"Speakers",NA,29,"Some college but no degree","White",NA,"Female","Urban",NA,0,"Democratic",NA,"The study is about predicting personality from voices",NA,"Deshawn,Keyshawn,Scott,William","William|Jackson|Logan|Lucas|Deshawn|Aiden|Scott|Keyshawn","4","0",20,20,20,20,100,100,100,100,"Tyrone|Brett|Terrell|Logan|Deshawn|Keyshawn|Brad|Scott",80,80,80,80,0,0,0,0,"Brad|Brett|Tyrone|Terrell|Keyshawn|Deshawn|Logan|Scott",NA,3,"FL_144|FL_147|FL_145|FL_146","Deshawn","c","Keyshawn","d","Logan","a","Scott","f","Q82|Q84","Q54|Q55",7187,2593,5999,3553,50,50,50,20,50,30,50,50,0,40,50,70,80,50,50,40,60,60,50,30,70,30,50,30,60,40,50,50,"Dominant|Intelligent|Like they are a problem-solver|Threatening|Trustworthy|Confident|Like they are an effective communicator","Like they are a problem-solver|Confident|Intelligent|Dominant|Trustworthy|Threatening|Like they are an effective communicator","Like they are an effective communicator|Dominant|Like they are a problem-solver|Confident|Threatening|Intelligent|Trustworthy","Trustworthy|Intelligent|Dominant|Threatening|Like they are a problem-solver|Like they are an effective communicator|Confident",0,0,0,0,0,0,0,0,50,50,50,0,0,0,0,0,0,0,0,0,"your close friend?|your boss?|your neighbor?|your work project team member?|your employee?","your work project team member?|your employee?|your close friend?|your boss?|your neighbor?","your close friend?|your neighbor?|your employee?|your work project team member?|your boss?","your close friend?|your boss?|your employee?|your work project team member?|your neighbor?","He sounds fairly robotic.","They sound very relaxed and at ease.","They sound very bored.","He sounds very creepy.",67.5,45,50,37.5,50,50,50,80,50,40,50,65,1
"Speakers",NA,56,"Bachelor's degree in college (4-year)","White",NA,"Female","Rural",NA,6,"Republican",NA,"The study is about predicting personality from voices",NA,"Deshawn","Aiden|Noah|Logan|Lucas|Deshawn|Grayson|Tyrone|Scott","4","0",1,1,1,1,97,97,97,96,"Keyshawn|Terrell|Logan|Scott|Brett|Brad|Tyrone|Deshawn",97,97,97,97,2,2,2,4,"Tyrone|Brad|Keyshawn|Deshawn|Terrell|Logan|Brett|Scott","Very interesting!!! Thanks~+~for asking!",1,"FL_145|FL_147|FL_146|FL_144","Tyrone","g","Deshawn","f","Scott","b","Logan","c","Q82|Q84","Q55|Q54",6754,3553,3890,7187,81,51,70,85,4,0,59,36,0,0,10,0,100,79,91,96,100,13,87,97,100,63,69,74,82,7,79,74,"Confident|Threatening|Dominant|Like they are a problem-solver|Trustworthy|Intelligent|Like they are an effective communicator","Confident|Like they are an effective communicator|Trustworthy|Threatening|Intelligent|Like they are a problem-solver|Dominant","Trustworthy|Threatening|Like they are an effective communicator|Dominant|Like they are a problem-solver|Confident|Intelligent","Confident|Like they are a problem-solver|Dominant|Like they are an effective communicator|Intelligent|Trustworthy|Threatening",97,20,51,89,97,47,45,89,97,50,50,90,97,41,50,89,97,3,50,90,"your employee?|your boss?|your neighbor?|your work project team member?|your close friend?","your employee?|your neighbor?|your work project team member?|your boss?|your close friend?","your close friend?|your employee?|your work project team member?|your neighbor?|your boss?","your close friend?|your work project team member?|your employee?|your boss?|your neighbor?","Sounded intelligent","Sounds depressed","sounded a bit angry towards the end","No",95.5,40.5,81.5,85.25,19,49,30,15,11.5,24.5,44.5,25.5,2
"Speakers",NA,49,"Master's degree","White",NA,"Female","Suburban",NA,6,"Republican",NA,"The study is about predicting personality from voices",NA,"Deshawn,Terrell,Scott,Brad","Jackson|Elijah|Terrell|William|Deshawn|Liam|Brad|Scott","Unsure","Unsure",32,20,18,15,90,78,91,65,"Brett|Scott|Brad|Terrell|Keyshawn|Logan|Tyrone|Deshawn",72,82,83,82,12,22,11,41,"Keyshawn|Logan|Scott|Tyrone|Terrell|Deshawn|Brett|Brad",NA,4,"FL_146|FL_145|FL_147|FL_144","Deshawn","f","Terrell","a","Brad","h","Scott","d","Q84|Q82","Q55|Q54",3553,5999,6861,2593,85,37,75,54,56,80,45,51,22,61,7,41,88,49,90,50,82,51,88,50,81,60,66,50,67,73,83,50,"Trustworthy|Confident|Like they are a problem-solver|Like they are an effective communicator|Threatening|Dominant|Intelligent","Like they are an effective communicator|Trustworthy|Like they are a problem-solver|Threatening|Intelligent|Confident|Dominant","Like they are an effective communicator|Intelligent|Threatening|Like they are a problem-solver|Confident|Trustworthy|Dominant","Intelligent|Confident|Like they are an effective communicator|Like they are a problem-solver|Threatening|Dominant|Trustworthy",89,61,84,44,83,61,82,61,82,60,87,65,89,61,87,46,82,60,46,37,"your employee?|your boss?|your close friend?|your work project team member?|your neighbor?","your neighbor?|your employee?|your boss?|your work project team member?|your close friend?","your employee?|your work project team member?|your neighbor?|your boss?|your close friend?","your close friend?|your work project team member?|your neighbor?|your boss?|your employee?","",NA,NA,NA,79.5,58.25,81.75,50,15,63,25,46,35.5,71.5,35,48.5,3
"Speakers",NA,30,"Some college but no degree","White",NA,"Female","Urban",NA,3,"Democratic",NA,"The study is about predicting personality from voices",NA,"Tyrone,Scott,Brad","Elijah|Lucas|Scott|Liam|Tyrone|Grayson|Brad|Terrell","1","2",4,5,5,3,97,96,99,96,"Terrell|Brad|Logan|Tyrone|Scott|Brett|Keyshawn|Deshawn",98,75,100,94,6,10,4,8,"Brett|Tyrone|Logan|Deshawn|Brad|Terrell|Keyshawn|Scott","Nothing to add.",3,"FL_144|FL_145|FL_147|FL_146","Terrell","b","Tyrone","c","Scott","f","Brad","h","Q82|Q84","Q55|Q54",3890,7187,3553,6861,100,36,41,87,81,5,22,31,3,1,0,0,76,32,29,95,94,13,33,100,100,55,24,97,86,44,43,98,"Intelligent|Trustworthy|Like they are an effective communicator|Dominant|Confident|Threatening|Like they are a problem-solver","Dominant|Trustworthy|Threatening|Confident|Like they are an effective communicator|Intelligent|Like they are a problem-solver","Like they are an effective communicator|Trustworthy|Dominant|Intelligent|Like they are a problem-solver|Threatening|Confident","Dominant|Intelligent|Like they are an effective communicator|Trustworthy|Threatening|Confident|Like they are a problem-solver",37,4,0,7,26,91,3,100,60,100,5,73,16,10,0,4,96,4,41,25,"your work project team member?|your neighbor?|your close friend?|your boss?|your employee?","your work project team member?|your boss?|your employee?|your close friend?|your neighbor?","your work project team member?|your employee?|your neighbor?|your close friend?|your boss?","your neighbor?|your close friend?|your employee?|your boss?|your work project team member?","He seems calm and collected in the way he speaks. But he also seems either sleepy or a bit bored.","Seems very unfaized but what he is doing.","Just seems like hes barely there...like this is the last thing he wants to do at all.","He seems both interested in the tast at hand and very smart. Like this isn't just a simple task hes pursuing.",89,36,32.25,97.5,0,64,59,13,40.5,34.5,40.5,22,4
"Headphones",NA,23,"Some college but no degree","White",NA,"Female","Rural",NA,1,"Democratic",NA,"The study is about predicting personality from voices",NA,"Tyrone,William","Aiden|Noah|Tyrone|William|Brett|Jackson|Keyshawn|Logan","Unsure","2",52,54,51,51,64,68,64,67,"Keyshawn|Scott|Logan|Brett|Brad|Deshawn|Terrell|Tyrone",55,57,66,53,41,44,39,44,"Terrell|Brett|Logan|Tyrone|Scott|Brad|Keyshawn|Deshawn",NA,1,"FL_147|FL_144|FL_146|FL_145","Keyshawn","d","Tyrone","h","Logan","e","Brett","c","Q84|Q82","Q54|Q55",2593,6861,4143,7187,100,85,78,61,69,5,10,37,6,5,1,10,87,86,85,82,79,75,70,80,89,75,77,68,87,34,32,67,"Like they are a problem-solver|Threatening|Confident|Intelligent|Trustworthy|Like they are an effective communicator|Dominant","Dominant|Trustworthy|Like they are a problem-solver|Intelligent|Threatening|Confident|Like they are an effective communicator","Trustworthy|Intelligent|Like they are a problem-solver|Threatening|Like they are an effective communicator|Dominant|Confident","Like they are a problem-solver|Intelligent|Like they are an effective communicator|Threatening|Confident|Dominant|Trustworthy",87,79,77,97,92,83,79,84,85,90,83,82,83,89,70,83,69,65,62,76,"your boss?|your neighbor?|your work project team member?|your close friend?|your employee?","your boss?|your neighbor?|your work project team member?|your employee?|your close friend?","your employee?|your close friend?|your boss?|your work project team member?|your neighbor?","your neighbor?|your close friend?|your employee?|your boss?|your work project team member?","Sounded relaxed and friendly","It sounded like a robotic filter was added",NA,NA,85.5,67.5,66,74.25,0,15,22,39,34.5,10,16,38,5
"Speakers",NA,33,"Bachelor's degree in college (4-year)","White",NA,"Female","Suburban",NA,2,"Democratic",NA,"The study is about predicting personality from voices",NA,"Keyshawn,Brad,Brett,Lucas","William|Elijah|Brett|Lucas|Keyshawn|Noah|Terrell|Brad","2","2",50,20,53,50,79,78,78,81,"Keyshawn|Tyrone|Deshawn|Brett|Terrell|Scott|Logan|Brad",79,78,54,54,27,25,30,27,"Keyshawn|Terrell|Tyrone|Brett|Deshawn|Brad|Logan|Scott","I found this study to be both interesting and intriguing.",3,"FL_144|FL_146|FL_147|FL_145","Terrell","d","Keyshawn","e","Brett","c","Brad","a","Q82|Q84","Q55|Q54",2593,4143,7187,5999,37,34,51,52,91,16,75,41,10,1,15,10,83,34,82,67,83,24,82,72,50,17,74,66,82,17,86,66,"Confident|Threatening|Trustworthy|Like they are a problem-solver|Like they are an effective communicator|Intelligent|Dominant","Threatening|Intelligent|Trustworthy|Like they are an effective communicator|Confident|Dominant|Like they are a problem-solver","Trustworthy|Like they are an effective communicator|Intelligent|Dominant|Threatening|Confident|Like they are a problem-solver","Confident|Like they are an effective communicator|Like they are a problem-solver|Intelligent|Trustworthy|Dominant|Threatening",83,12,83,27,75,19,75,16,67,21,51,28,75,14,84,40,80,12,77,40,"your close friend?|your employee?|your work project team member?|your boss?|your neighbor?","your close friend?|your employee?|your boss?|your neighbor?|your work project team member?","your neighbor?|your boss?|your work project team member?|your employee?|your close friend?","your boss?|your employee?|your neighbor?|your close friend?|your work project team member?","He has a clear and crisp speaking voice which is very effective in communication.","This speaker lacks emphasis on his words and therefore comes across as not as intelligent, confident, or serious.","He sounds almost identical to the first speaker. He varied his enunciation slightly from the first speaker.","This speaker's voice is definitely different from the first two speakers. He sounds more monotone and disinterested.",74.5,23,81,67.75,63,66,49,48,77,41,62,44.5,6
"Headphones",NA,30,"Bachelor's degree in college (4-year)","White",NA,"Male","Suburban",NA,2,"Democratic",NA,"The study is about predicting personality from voices",NA,"Deshawn,Keyshawn,Logan,Brett","Lucas|Liam|Keyshawn|Elijah|Brett|William|Deshawn|Logan","2","2",27,13,24,16,97,96,94,86,"Terrell|Logan|Brett|Brad|Tyrone|Deshawn|Scott|Keyshawn",85,80,72,79,10,4,4,15,"Brad|Terrell|Tyrone|Keyshawn|Logan|Brett|Scott|Deshawn",NA,4,"FL_145|FL_144|FL_147|FL_146","Deshawn","g","Keyshawn","b","Brett","f","Logan","e","Q82|Q84","Q55|Q54",6754,3890,3553,4143,65,84,53,74,13,70,24,18,13,9,0,10,63,95,63,62,59,90,51,59,65,78,55,74,46,93,25,56,"Like they are an effective communicator|Like they are a problem-solver|Intelligent|Confident|Threatening|Trustworthy|Dominant","Like they are an effective communicator|Like they are a problem-solver|Intelligent|Dominant|Threatening|Trustworthy|Confident","Trustworthy|Threatening|Confident|Like they are an effective communicator|Intelligent|Dominant|Like they are a problem-solver","Threatening|Dominant|Intelligent|Like they are a problem-solver|Confident|Like they are an effective communicator|Trustworthy",83,97,83,79,79,96,88,91,77,97,85,84,85,96,74,85,73,93,64,75,"your neighbor?|your employee?|your work project team member?|your close friend?|your boss?","your neighbor?|your employee?|your work project team member?|your boss?|your close friend?","your boss?|your neighbor?|your work project team member?|your close friend?|your employee?","your close friend?|your employee?|your boss?|your neighbor?|your work project team member?","Sounds masculinely timid","Sounds like he could be an actor","Sounds very unsure","Sounds unsure",58.25,89,48.5,62.75,35,16,47,26,24,43,35.5,22,7
"Headphones",NA,56,"Bachelor's degree in college (4-year)","White",NA,"Female","Rural",NA,2,"Democratic",NA,"The study is about predicting personality from voices",NA,"Terrell,Keyshawn,Scott,Brad","Grayson|Jackson|Scott|Aiden|Brad|Liam|Terrell|Keyshawn","2","2",40,10,50,10,90,95,98,60,"Brad|Deshawn|Terrell|Tyrone|Logan|Scott|Brett|Keyshawn",60,90,50,90,10,5,2,40,"Deshawn|Brett|Terrell|Keyshawn|Brad|Tyrone|Scott|Logan",NA,4,"FL_147|FL_145|FL_144|FL_146","Keyshawn","h","Terrell","c","Brad","a","Scott","b","Q82|Q84","Q54|Q55",6861,7187,5999,3890,95,80,100,85,50,75,100,80,0,5,0,0,100,70,100,80,100,75,100,80,100,70,100,80,100,70,100,90,"Threatening|Like they are an effective communicator|Like they are a problem-solver|Confident|Dominant|Trustworthy|Intelligent","Intelligent|Confident|Dominant|Like they are an effective communicator|Like they are a problem-solver|Trustworthy|Threatening","Confident|Threatening|Trustworthy|Like they are a problem-solver|Like they are an effective communicator|Intelligent|Dominant","Like they are an effective communicator|Confident|Intelligent|Trustworthy|Like they are a problem-solver|Dominant|Threatening",95,50,100,70,100,50,100,80,100,70,100,80,95,40,100,70,95,40,100,50,"your employee?|your close friend?|your neighbor?|your work project team member?|your boss?","your neighbor?|your close friend?|your boss?|your employee?|your work project team member?","your work project team member?|your boss?|your close friend?|your employee?|your neighbor?","your work project team member?|your neighbor?|your close friend?|your boss?|your employee?","very pleasant","sounded nervous","no","no",100,71.25,100,82.5,5,20,0,15,27.5,47.5,50,47.5,8
"Headphones",NA,54,"Bachelor's degree in college (4-year)","White",NA,"Male","Rural",NA,4,"Independent",NA,"The researcher isn't telling me what the study is about. My guess is that the study is about...","how voices influence perception of personality.","Deshawn,Tyrone,Brett","Aiden|Jackson|Deshawn|Grayson|Brett|Noah|Tyrone|Scott","4","0",21,13,21,24,77,78,89,84,"Logan|Deshawn|Tyrone|Scott|Brad|Keyshawn|Terrell|Brett",89,85,92,88,18,13,13,18,"Deshawn|Logan|Brad|Terrell|Brett|Scott|Tyrone|Keyshawn",NA,3,"FL_145|FL_144|FL_146|FL_147","Tyrone","c","Deshawn","d","Scott","g","Brett","h","Q84|Q82","Q54|Q55",7187,2593,6754,6861,56,57,57,53,51,72,52,49,10,16,9,20,68,85,82,83,62,84,75,85,68,83,73,73,61,94,72,77,"Threatening|Like they are an effective communicator|Dominant|Confident|Trustworthy|Like they are a problem-solver|Intelligent","Dominant|Like they are a problem-solver|Confident|Like they are an effective communicator|Intelligent|Trustworthy|Threatening","Threatening|Like they are a problem-solver|Dominant|Trustworthy|Confident|Intelligent|Like they are an effective communicator","Confident|Intelligent|Like they are a problem-solver|Like they are an effective communicator|Threatening|Trustworthy|Dominant",56,66,65,67,49,51,44,43,89,86,83,85,65,70,69,67,51,65,53,51,"your boss?|your employee?|your neighbor?|your work project team member?|your close friend?","your close friend?|your employee?|your boss?|your work project team member?|your neighbor?","your close friend?|your employee?|your work project team member?|your boss?|your neighbor?","your close friend?|your employee?|your neighbor?|your work project team member?|your boss?","No","Not really","No","no",64.75,86.5,75.5,79.5,44,43,43,47,47.5,57.5,47.5,48,9
"Headphones",NA,27,"Some college but no degree","White",NA,"Male","Urban",NA,2,"Independent",NA,"The study is about predicting personality from voices",NA,"Keyshawn,Brad,Logan,Liam","Liam|Grayson|Keyshawn|Noah|Logan|Lucas|Tyrone|Brad","3","1",40,23,41,11,86,88,50,89,"Keyshawn|Tyrone|Scott|Terrell|Brett|Logan|Deshawn|Brad",90,89,89,90,5,3,7,3,"Terrell|Deshawn|Keyshawn|Brad|Tyrone|Scott|Logan|Brett",NA,3,"FL_147|FL_145|FL_146|FL_144","Keyshawn","a","Tyrone","b","Logan","h","Brad","g","Q82|Q84","Q54|Q55",5999,3890,6861,6754,15,94,39,58,31,61,59,36,27,9,45,19,73,76,77,77,13,89,40,34,62,62,83,51,33,89,75,43,"Dominant|Confident|Intelligent|Threatening|Like they are an effective communicator|Trustworthy|Like they are a problem-solver","Trustworthy|Dominant|Threatening|Confident|Like they are an effective communicator|Like they are a problem-solver|Intelligent","Trustworthy|Dominant|Threatening|Intelligent|Confident|Like they are a problem-solver|Like they are an effective communicator","Confident|Like they are a problem-solver|Trustworthy|Dominant|Threatening|Like they are an effective communicator|Intelligent",48,95,64,93,75,95,71,89,70,93,87,79,48,95,73,91,20,94,51,54,"your boss?|your employee?|your work project team member?|your neighbor?|your close friend?","your neighbor?|your boss?|your employee?|your close friend?|your work project team member?","your employee?|your boss?|your close friend?|your work project team member?|your neighbor?","your neighbor?|your boss?|your employee?|your work project team member?|your close friend?","",NA,NA,NA,45.25,79,68.75,51.25,85,6,61,42,58,33.5,60,39,10
